,Class i,Class j,Statistic,P-value(rounded),P-value(exp)
2734,32.0,95.0,12.92169856193746,0.0,2.144597888516948e-36
2735,32.0,96.0,-7.028785730261942,0.0,3.6697059194511596e-12
2736,32.0,97.0,18.50784889716219,0.0,2.897841747345658e-67
2737,32.0,98.0,19.79860133419708,0.0,2.980905006851953e-75
2738,32.0,99.0,14.841588680389266,0.0,2.0907260601906125e-46
2739,33.0,34.0,13.16803549583867,0.0,2.6772030456534242e-37
2740,33.0,35.0,19.28810652107427,0.0,6.096035968101676e-72
2741,33.0,36.0,16.123449333649763,0.0,7.783180255881344e-53
2742,33.0,37.0,18.780492948354137,0.0,1.0812732260591728e-68
2743,33.0,38.0,24.612644437015227,0.0,6.583690571727995e-104
2744,33.0,39.0,26.704833527209004,0.0,6.903101029481875e-116
2745,33.0,40.0,19.43425184642356,0.0,9.58906898864616e-73
2746,33.0,41.0,21.794269713797405,0.0,1.9140901943465209e-87
2747,33.0,42.0,25.41682393783513,0.0,1.3176316031559083e-108
2748,33.0,43.0,25.474608385895507,0.0,4.959102160469818e-108
2749,33.0,44.0,19.211091941326256,0.0,2.571732737385877e-71
2750,33.0,45.0,15.770070147024432,0.0,2.9641689833417063e-50
2751,33.0,46.0,25.341360244274078,0.0,1.0399278413882638e-107
2752,33.0,47.0,22.213530306762774,0.0,8.354814579940181e-89
2753,33.0,48.0,18.33220912879173,0.0,1.8655793704966206e-65
2754,33.0,49.0,8.460011940616997,0.0,5.480620042709253e-17
2755,33.0,50.0,23.142703085294094,0.0,1.4241382509810153e-94
2756,33.0,51.0,23.864803415880584,0.0,1.01574373795452e-98
2757,33.0,52.0,21.59210344426863,0.0,5.012347247853616e-84
2758,33.0,53.0,23.506626734876775,0.0,6.475123248750302e-97
2759,33.0,54.0,28.306161623920083,0.0,3.9351311947794667e-125
2760,33.0,55.0,24.993226639147306,0.0,2.2095873947592906e-105
2761,33.0,56.0,25.81439356749236,0.0,3.8532403409928254e-110
2762,33.0,57.0,25.79224806593005,0.0,1.0639452560857345e-109
2763,33.0,58.0,19.963780316621666,0.0,7.900090647886731e-75
2764,33.0,59.0,25.753449373365232,0.0,1.4665629139143778e-110
2765,33.0,60.0,27.416199095619223,0.0,2.7699108857445562e-120
2766,33.0,61.0,27.26751187339313,0.0,1.857250371688362e-120
2767,33.0,62.0,26.537919600493616,0.0,1.5051594285202375e-114
2768,33.0,63.0,27.87569463539972,0.0,1.749036830488208e-122
2769,33.0,64.0,29.58690681796782,0.0,1.2520017221545679e-132
2770,33.0,65.0,26.444143306837574,0.0,4.4241552678435313e-116
2771,33.0,66.0,29.247011185928375,0.0,4.737928257615922e-131
2772,33.0,67.0,29.4269415457735,0.0,9.816660565787461e-132
2773,33.0,68.0,29.627108403722684,0.0,6.136042284409386e-133
2774,33.0,69.0,25.086501985690475,0.0,3.704556696592381e-109
2775,33.0,70.0,24.613250146975584,0.0,7.722503914335125e-105
2776,33.0,71.0,22.920263347080592,0.0,7.657948562303539e-94
2777,33.0,72.0,-1.5626207254066524,0.118403,0.11840261150664812
2778,33.0,73.0,16.968384291323353,0.0,8.161356448605591e-59
2779,33.0,74.0,26.841523780215066,0.0,2.0981087710336145e-117
2780,33.0,75.0,2.8087480704351937,0.005039,0.005039047424427188
2781,33.0,76.0,19.15781724508876,0.0,8.061047655763824e-72
2782,33.0,77.0,16.895245170221287,0.0,1.3952291088864452e-58
2783,33.0,78.0,28.706853325307993,0.0,1.581509456945106e-127
2784,33.0,79.0,29.048647554049168,0.0,1.0878122897454211e-129
2785,33.0,80.0,26.625559754074185,0.0,2.2936887956058734e-116
2786,33.0,81.0,28.690828944398007,0.0,2.0262574407409604e-127
2787,33.0,82.0,27.58975536384748,0.0,6.494805856487565e-122
2788,33.0,83.0,28.782319465255995,0.0,2.7694912919784697e-128
2789,33.0,84.0,28.353246047694576,0.0,2.0187412525573242e-125
2790,33.0,85.0,26.26337613175477,0.0,1.581366044380551e-114
2791,33.0,86.0,29.749323105598215,0.0,8.498822816075233e-134
2792,33.0,87.0,29.926973040612978,0.0,3.1885113608043256e-135
2793,33.0,88.0,28.915383211182714,0.0,5.4500457185557184e-129
2794,33.0,89.0,26.311247142386733,0.0,1.1695041332544572e-114
2795,33.0,90.0,25.215082336635305,0.0,1.18455899792499e-108
2796,33.0,91.0,29.101298362636168,0.0,4.2000699009884654e-130
2797,33.0,92.0,28.775315534777768,0.0,2.35890464168884e-128
2798,33.0,93.0,9.26263849373022,0.0,5.619690885660181e-20
2799,33.0,94.0,27.60881689794,0.0,4.5274543483525485e-123
2800,33.0,95.0,26.1418005577511,0.0,1.876987246292074e-114
2801,33.0,96.0,2.234346043493317,0.025618,0.02561781899875556
2802,33.0,97.0,29.179800197992524,0.0,1.5061964801458304e-130
2803,33.0,98.0,29.84884130789548,0.0,1.4598031038574605e-134
2804,33.0,99.0,27.24757004704961,0.0,3.462507966994498e-120
2805,34.0,35.0,8.055326557389376,0.0,1.4391345473957328e-15
2806,34.0,36.0,3.3769933503060825,0.000749,0.0007490598819686371
2807,34.0,37.0,7.276940945187806,0.0,5.12289863335789e-13
2808,34.0,38.0,15.971437637145563,0.0,8.663807353181686e-53
2809,34.0,39.0,19.446809444804774,0.0,1.64766747388252e-73
2810,34.0,40.0,8.23733195517276,0.0,3.43819880253802e-16
2811,34.0,41.0,11.667410472369363,0.0,2.6905653348562114e-30
2812,34.0,42.0,17.28066780519766,0.0,1.6872879312874947e-60
2813,34.0,43.0,17.422101693279526,0.0,7.460917498656914e-61
2814,34.0,44.0,7.889016055577657,0.0,5.32307864421265e-15
2815,34.0,45.0,2.2420946024904094,0.025108,0.025108303684944953
2816,34.0,46.0,17.17715818625288,0.0,1.1538834225039444e-59
2817,34.0,47.0,12.173394490368159,0.0,1.5307406899911135e-32
2818,34.0,48.0,6.377534808781203,0.0,2.3274300741992687e-10
2819,34.0,49.0,-1.6147157997739248,0.106593,0.10659261686088488
2820,34.0,50.0,13.633996158240432,0.0,7.694588279000821e-40
2821,34.0,51.0,14.776943922479832,0.0,6.823138699209645e-46
